distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
50-100,100,510001,Breadth-First,67.0671,0.892832,135618,True,78.9185
50-100,100,510001,Theta*,67.0671,0.066958,1329,True,71.4696
50-100,100,510002,A*,52.3641,0.006192,458,True,57.7983
50-100,100,510002,Dijkstra,52.3641,2.205026,199114,True,57.7983
50-100,100,510002,Breadth-First,52.3641,1.162078,172865,True,58.6267
50-100,100,510002,Theta*,52.3641,0.021177,76,True,54.6217
50-100,100,510003,A*,54.7357,0.010823,606,True,57.9971
50-100,100,510003,Dijkstra,54.7357,1.971052,176099,True,57.9971
50-100,100,510003,Breadth-First,54.7357,0.799874,119981,True,58.8255
50-100,100,510003,Theta*,54.7357,0.02815,138,True,56.0477
50-100,100,510004,A*,73.5459,0.005509,327,True,79.9158
50-100,100,510004,Dijkstra,73.5459,1.985944,182682,True,79.9158
50-100,100,510004,Breadth-First,73.5459,0.981267,149030,True,81.2835
50-100,100,510004,Theta*,73.5459,0.022918,118,True,74.4337
50-100,100,510005,A*,64.6529,0.159735,14381,True,74.1017
50-100,100,510005,Dijkstra,64.6529,2.096753,193285,True,74.1017
50-100,100,510005,Breadth-First,64.6529,1.014664,153467,True,77.3191
50-100,100,510005,Theta*,64.6529,0.027808,326,True,69.3486
50-100,100,510006,A*,63.2535,0.002839,181,True,68.6021
50-100,100,510006,Dijkstra,63.2535,2.085252,191422,True,68.6021
50-100,100,510006,Breadth-First,63.2535,1.135882,171269,True,68.6021
50-100,100,510006,Theta*,63.2535,0.019495,64,True,63.9096
50-100,100,510007,A*,52.3641,0.018355,1328,True,57.1154
50-100,100,510007,Dijkstra,52.3641,1.211533,112683,True,57.1154
50-100,100,510007,Breadth-First,52.3641,0.560577,85206,True,57.1154
50-100,100,510007,Theta*,52.3641,0.01811,44,True,53.4846
50-100,100,510008,A*,51.2445,0.050744,4473,True,59.0239
50-100,100,510008,Dijkstra,51.2445,1.387243,128426,True,59.0239
50-100,100,510008,Breadth-First,51.2445,0.746088,113823,True,60.5843
50-100,100,510008,Theta*,51.2445,0.157813,3988,True,54.8492
50-100,100,510009,A*,62.0161,0.277482,25674,True,75.8481
50-100,100,510009,Dijkstra,62.0161,1.818365,168592,True,75.8481
50-100,100,510009,Breadth-First,62.0161,0.90487,137270,True,78.2371
50-100,100,510009,Theta*,62.0161,0.531768,16203,True,70.5193
50-100,100,510010,A*,93.3006,0.007039,358,True,102.6089
50-100,100,510010,Dijkstra,93.3006,2.33945,218097,True,102.6089
50-100,100,510010,Breadth-First,93.3006,1.189963,180471,True,104.073
50-100,100,510010,Theta*,93.3006,0.028373,91,True,95.6216
50-100,100,510011,A*,59.7495,0.263583,24265,True,70.8277
50-100,100,510011,Dijkstra,59.7495,1.923676,178868,True,70.8277
50-100,100,510011,Breadth-First,59.7495,1.050335,159212,True,71.7484
50-100,100,510011,Theta*,59.7495,1.137809,27215,True,66.7295
50-100,100,510012,A*,93.9681,0.087424,6605,True,103.5009
50-100,100,510012,Dijkstra,93.9681,2.503361,232009,True,103.5009
50-100,100,510012,Breadth-First,93.9681,1.195179,178420,True,111.4571
50-100,100,510012,Theta*,93.9681,0.031504,261,True,96.2982
50-100,100,510013,A*,75.7694,3e-05,1,False,0.0
50-100,100,510013,Dijkstra,75.7694,1.9e-05,1,False,0.0
50-100,100,510013,Breadth-First,75.7694,2e-05,1,False,0.0
50-100,100,510013,Theta*,75.7694,1.6e-05,1,False,0.0
50-100,100,510014,A*,57.1752,0.058996,5303,True,64.2185
50-100,100,510014,Dijkstra,57.1752,2.001945,184521,True,64.2185
50-100,100,510014,Breadth-First,57.1752,0.98527,147755,True,64.2185
50-100,100,510014,Theta*,57.1752,0.137631,2729,True,60.2474
50-100,100,510015,A*,64.5136,0.037949,3127,True,72.5843
50-100,100,510015,Dijkstra,64.5136,1.615457,149827,True,72.5843
50-100,100,510015,Breadth-First,64.5136,0.945335,142995,True,75.0696
50-100,100,510015,Theta*,64.5136,0.117781,2714,True,68.4548
50-100,100,510016,A*,60.6712,0.013138,1044,True,70.5152
50-100,100,510016,Dijkstra,60.6712,2.171486,197676,True,70.5152
50-100,100,510016,Breadth-First,60.6712,1.155993,165864,True,72.8077
50-100,100,510016,Theta*,60.6712,0.032599,494,True,66.0935
50-100,100,510017,A*,62.3939,0.0528,4568,True,70.4079
50-100,100,510017,Dijkstra,62.3939,1.364263,127643,True,70.4079
50-100,100,510017,Breadth-First,62.3939,0.641819,98090,True,74.0292
50-100,100,510017,Theta*,62.3939,0.085021,2352,True,66.7492
50-100,100,510018,A*,59.6909,0.244449,22889,True,70.3198
50-100,100,510018,Dijkstra,59.6909,2.093526,193467,True,70.3198
50-100,100,510018,Breadth-First,59.6909,1.036819,156988,True,76.4147
50-100,100,510018,Theta*,59.6909,0.15389,4376,True,64.9883
50-100,100,510019,A*,72.2565,0.029865,2102,True,81.194
50-100,100,510019,Dijkstra,72.2565,2.421391,223276,True,81.194
50-100,100,510019,Breadth-First,72.2565,1.193328,180722,True,83.101
50-100,100,510019,Theta*,72.2565,0.022411,65,True,72.9903
50-100,100,510020,A*,69.455,0.024902,1921,True,73.5466
50-100,100,510020,Dijkstra,69.455,1.75121,162855,True,73.5466
50-100,100,510020,Breadth-First,69.455,0.892718,134567,True,74.5213
50-100,100,510020,Theta*,69.455,0.050279,743,True,71.095
50-100,100,510021,A*,69.814,0.032648,2574,True,77.1701
50-100,100,510021,Dijkstra,69.814,1.825068,169151,True,77.1701
50-100,100,510021,Breadth-First,69.814,0.953003,145335,True,82.0443
50-100,100,510021,Theta*,69.814,0.063742,559,True,73.893
50-100,100,510022,A*,57.9224,0.021848,1547,True,64.9513
50-100,100,510022,Dijkstra,57.9224,2.298817,207239,True,64.9513
50-100,100,510022,Breadth-First,57.9224,1.14908,171185,True,65.8761
50-100,100,510022,Theta*,57.9224,0.024914,51,True,58.3069
50-100,100,510023,A*,56.6039,0.014208,930,True,60.7257
50-100,100,510023,Dijkstra,56.6039,1.078677,99801,True,60.7257
50-100,100,510023,Breadth-First,56.6039,0.561138,67157,True,60.7257
50-100,100,510023,Theta*,56.6039,0.024106,43,True,57.2949
50-100,100,510024,A*,74.8131,0.022452,1318,True,81.7688
50-100,100,510024,Dijkstra,74.8131,2.489824,227174,True,81.7688
50-100,100,510024,Breadth-First,74.8131,1.212148,181692,True,86.4113
50-100,100,510024,Theta*,74.8131,0.029364,126,True,76.7606
50-100,100,510025,A*,59.716,0.0047,283,True,65.9445
50-100,100,510025,Dijkstra,59.716,1.382978,127411,True,65.9445
50-100,100,510025,Breadth-First,59.716,0.712136,108241,True,67.4086
50-100,100,510025,Theta*,59.716,0.029689,292,True,64.2707
50-100,100,510026,A*,51.0882,0.00518,291,True,55.6021
50-100,100,510026,Dijkstra,51.0882,1.7534,160044,True,55.6021
50-100,100,510026,Breadth-First,51.0882,1.094066,163714,True,57.8946
50-100,100,510026,Theta*,51.0882,0.021157,48,True,51.0882
50-100,100,510027,A*,53.9815,0.00763,483,True,58.4831
50-100,100,510027,Dijkstra,53.9815,1.112394,104084,True,58.4831
50-100,100,510027,Breadth-First,53.9815,0.467964,71362,True,58.4831
50-100,100,510027,Theta*,53.9815,0.018839,42,True,54.0625
50-100,100,510028,A*,57.6021,0.007104,447,True,62.6773
50-100,100,510028,Dijkstra,57.6021,2.314032,210391,True,62.6773
50-100,100,510028,Breadth-First,57.6021,1.243877,185686,True,66.4339
50-100,100,510028,Theta*,57.6021,0.021564,60,True,57.9576
50-100,100,510029,A*,72.0555,0.120172,10372,True,79.8988
50-100,100,510029,Dijkstra,72.0555,1.706472,158555,True,79.8988
50-100,100,510029,Breadth-First,72.0555,0.923512,139405,True,82.827
50-100,100,510029,Theta*,72.0555,0.487263,7750,True,74.7293
50-100,100,510030,A*,88.775,0.025286,1719,True,99.2903
50-100,100,510030,Dijkstra,88.775,2.372294,220367,True,99.2903
50-100,100,510030,Breadth-First,88.775,1.10057,165251,True,101.833
50-100,100,510030,Theta*,88.775,0.026834,97,True,90.4907
50-100,100,510031,A*,55.7405,0.012035,844,True,62.9472
50-100,100,510031,Dijkstra,55.7405,2.28661,208725,True,62.9472
50-100,100,510031,Breadth-First,55.7405,1.07644,160730,True,65.6826
50-100,100,510031,Theta*,55.7405,0.02302,243,True,60.7441
50-100,100,510032,A*,60.2412,3.557513,321577,False,0.0
50-100,100,510032,Dijkstra,60.2412,2.506122,229316,False,0.0
50-100,100,510032,Breadth-First,60.2412,1.276651,187487,False,0.0
50-100,100,510032,Theta*,60.2412,14.128197,310829,False,0.0
50-100,100,510033,A*,56.3383,0.011727,792,True,62.0046
50-100,100,510033,Dijkstra,56.3383,1.921206,174778,True,62.0046
50-100,100,510033,Breadth-First,56.3383,0.862276,127925,True,62.101
50-100,100,510033,Theta*,56.3383,0.039765,48,True,57.6196
50-100,100,510034,A*,57.6281,0.008668,627,True,67.8727
50-100,100,510034,Dijkstra,57.6281,1.706812,158252,True,67.8727
50-100,100,510034,Breadth-First,57.6281,0.85457,129478,True,71.6826
50-100,100,510034,Theta*,57.6281,0.023142,220,True,63.9641
50-100,100,510035,A*,70.1855,0.005997,335,True,75.058
50-100,100,510035,Dijkstra,70.1855,2.11668,195644,True,75.058
50-100,100,510035,Breadth-First,70.1855,1.116837,168466,True,79.6041
50-100,100,510035,Theta*,70.1855,0.027752,195,True,72.1527
50-100,100,510036,A*,50.8527,0.295811,27645,True,64.7306
50-100,100,510036,Dijkstra,50.8527,1.67177,153226,True,64.7306
50-100,100,510036,Breadth-First,50.8527,0.841327,127303,True,65.2193
50-100,100,510036,Theta*,50.8527,0.717139,14487,True,59.9093
50-100,100,510037,A*,59.4138,0.013536,992,True,68.5262
50-100,100,510037,Dijkstra,59.4138,1.91823,174490,True,68.5262
50-100,100,510037,Breadth-First,59.4138,0.942499,141946,True,71.8002
50-100,100,510037,Theta*,59.4138,0.038431,592,True,65.7512
50-100,100,510038,A*,82.4924,0.231036,20854,True,92.7893
50-100,100,510038,Dijkstra,82.4924,2.415189,223477,True,92.7893
50-100,100,510038,Breadth-First,82.4924,1.109438,166933,True,97.3928
50-100,100,510038,Theta*,82.4924,0.536829,10903,True,86.744
50-100,100,510039,A*,51.5655,0.006491,435,True,57.4804
50-100,100,510039,Dijkstra,51.5655,1.641375,152320,True,57.4804
50-100,100,510039,Breadth-First,51.5655,0.846053,128394,True,57.4804
50-100,100,510039,Theta*,51.5655,0.019498,57,True,53.1598
50-100,100,510040,A*,55.6147,0.007304,540,True,63.3005
50-100,100,510040,Dijkstra,55.6147,1.808583,166150,True,63.3005
50-100,100,510040,Breadth-First,55.6147,0.790671,118688,True,64.2253
50-100,100,510040,Theta*,55.6147,0.024379,335,True,61.7758
50-100,100,510041,A*,67.0,0.014052,967,True,74.0197
50-100,100,510041,Dijkstra,67.0,1.417042,132443,True,74.0197
50-100,100,510041,Breadth-First,67.0,0.847482,129425,True,74.9445
50-100,100,510041,Theta*,67.0,0.02317,65,True,68.3535
50-100,100,510042,A*,53.4977,0.047205,3727,True,60.4373
50-100,100,510042,Dijkstra,53.4977,1.768447,163371,True,60.4373
50-100,100,510042,Breadth-First,53.4977,0.865375,131123,True,60.4872
50-100,100,510042,Theta*,53.4977,0.018169,50,True,54.7979
50-100,100,510043,A*,70.4628,0.020267,1376,True,75.7284
50-100,100,510043,Dijkstra,70.4628,2.123737,197045,True,75.7284
50-100,100,510043,Breadth-First,70.4628,0.975192,145904,True,75.7284
50-100,100,510043,Theta*,70.4628,0.027929,259,True,73.0116
50-100,100,510044,A*,67.3573,0.010643,753,True,74.6108
50-100,100,510044,Dijkstra,67.3573,1.865242,173159,True,74.6108
50-100,100,510044,Breadth-First,67.3573,0.838272,125909,True,76.1747
50-100,100,510044,Theta*,67.3573,0.020509,158,True,71.3702
50-100,100,510045,A*,61.2046,0.046279,4149,True,67.4045
50-100,100,510045,Dijkstra,61.2046,1.774059,165339,True,67.4045
50-100,100,510045,Breadth-First,61.2046,0.841922,127261,True,70.3395
50-100,100,510045,Theta*,61.2046,0.086333,2136,True,63.4484
50-100,100,510046,A*,53.6004,0.045257,3464,True,61.8837
50-100,100,510046,Dijkstra,53.6004,1.982451,180502,True,61.8837
50-100,100,510046,Breadth-First,53.6004,0.986426,148082,True,65.7325
50-100,100,510046,Theta*,53.6004,0.021143,121,True,56.8926
50-100,100,510047,A*,52.6593,0.011228,742,True,58.8017
50-100,100,510047,Dijkstra,52.6593,1.672713,153739,True,58.8017
50-100,100,510047,Breadth-First,52.6593,0.851696,127827,True,58.9944
50-100,100,510047,Theta*,52.6593,0.019179,48,True,52.7094
50-100,100,510048,A*,50.04,0.007661,511,True,55.9985
50-100,100,510048,Dijkstra,50.04,2.046448,181199,True,55.9985
50-100,100,510048,Breadth-First,50.04,1.175942,170464,True,56.6342
50-100,100,510048,Theta*,50.04,0.023473,140,True,52.6952
50-100,100,510049,A*,58.9746,0.533952,49871,True,73.7476
50-100,100,510049,Dijkstra,58.9746,1.935512,179543,True,73.7476
50-100,100,510049,Breadth-First,58.9746,0.888749,134589,True,79.4181
50-100,100,510049,Theta*,58.9746,1.561972,42128,True,69.1519
50-100,100,510050,A*,54.827,0.003165,161,True,57.0292
50-100,100,510050,Dijkstra,54.827,2.041126,185898,True,57.0292
50-100,100,510050,Breadth-First,54.827,0.784244,116972,True,57.1256
50-100,100,510050,Theta*,54.827,0.023508,110,True,56.6141
50-100,100,510051,A*,53.4416,0.003618,160,True,57.3614
50-100,100,510051,Dijkstra,53.4416,2.200886,199419,True,57.3614
50-100,100,510051,Breadth-First,53.4416,0.945876,141574,True,57.3614
50-100,100,510051,Theta*,53.4416,0.0181,42,True,55.0618
50-100,100,510052,A*,55.4346,0.005372,387,True,65.8236
50-100,100,510052,Dijkstra,55.4346,1.54638,144488,True,65.8236
50-100,100,510052,Breadth-First,55.4346,0.810157,123246,True,67.5802
50-100,100,510052,Theta*,55.4346,0.026359,377,True,61.5543
50-100,100,510053,A*,70.7107,0.073914,5820,True,81.2616
50-100,100,510053,Dijkstra,70.7107,2.457267,225033,True,81.2616
50-100,100,510053,Breadth-First,70.7107,1.210964,181146,True,83.9896
50-100,100,510053,Theta*,70.7107,0.021951,129,True,74.8363
50-100,100,510054,A*,77.0065,0.010269,636,True,83.8523
50-100,100,510054,Dijkstra,77.0065,1.787605,166606,True,83.8523
50-100,100,510054,Breadth-First,77.0065,0.934412,141183,True,97.5111
50-100,100,510054,Theta*,77.0065,0.022639,77,True,78.7317
50-100,100,510055,A*,59.2453,0.006171,347,True,61.7148
50-100,100,510055,Dijkstra,59.2453,2.144914,196088,True,61.7148
50-100,100,510055,Breadth-First,59.2453,0.944089,141075,True,61.7148
50-100,100,510055,Theta*,59.2453,0.020243,52,True,59.2453
50-100,100,510056,A*,52.0481,0.012297,940,True,54.7067
50-100,100,510056,Dijkstra,52.0481,1.561799,142867,True,54.7067
50-100,100,510056,Breadth-First,52.0481,1.079475,162041,True,54.8031
50-100,100,510056,Theta*,52.0481,0.05374,511,True,52.8433
50-100,100,510057,A*,97.9898,0.037222,2566,True,109.9
50-100,100,510057,Dijkstra,97.9898,2.578965,238572,True,109.9
50-100,100,510057,Breadth-First,97.9898,1.215821,183124,True,112.3278
50-100,100,510057,Theta*,97.9898,0.024263,90,True,101.6
50-100,100,510058,A*,57.6455,0.024312,2013,True,66.0224
50-100,100,510058,Dijkstra,57.6455,1.886736,173121,True,66.0224
50-100,100,510058,Breadth-First,57.6455,0.920025,138404,True,66.0723
50-100,100,510058,Theta*,57.6455,0.059876,1301,True,62.104
50-100,100,510059,A*,72.374,0.099143,9417,True,82.0983
50-100,100,510059,Dijkstra,72.374,2.182256,203027,True,82.0983
50-100,100,510059,Breadth-First,72.374,1.132309,171631,True,82.5802
50-100,100,510059,Theta*,72.374,0.10851,2421,True,76.7647
50-100,100,510060,A*,54.2771,0.007765,507,True,60.0976
50-100,100,510060,Dijkstra,54.2771,2.017475,183921,True,60.0976
50-100,100,510060,Breadth-First,54.2771,0.983691,147054,True,62.833
50-100,100,510060,Theta*,54.2771,0.018062,62,True,56.4236
50-100,100,510061,A*,70.9225,0.023731,1619,True,78.8769
50-100,100,510061,Dijkstra,70.9225,1.769667,164139,True,78.8769
50-100,100,510061,Breadth-First,70.9225,0.880317,132902,True,82.2869
50-100,100,510061,Theta*,70.9225,0.036771,379,True,73.7944
50-100,100,510062,A*,88.0284,0.089242,7456,True,96.22
50-100,100,510062,Dijkstra,88.0284,2.257277,209278,True,96.22
50-100,100,510062,Breadth-First,88.0284,1.199402,182298,True,97.2412
50-100,100,510062,Theta*,88.0284,0.076129,1566,True,91.5594
50-100,100,510063,A*,58.2151,0.008775,576,True,60.8995
50-100,100,510063,Dijkstra,58.2151,1.507503,140679,True,60.8995
50-100,100,510063,Breadth-First,58.2151,0.919026,138256,True,61.5352
50-100,100,510063,Theta*,58.2151,0.028277,137,True,58.4765
50-100,100,510064,A*,51.0098,0.002915,167,True,52.1463
50-100,100,510064,Dijkstra,51.0098,0.833719,77655,True,52.1463
50-100,100,510064,Breadth-First,51.0098,0.718684,108749,True,52.1463
50-100,100,510064,Theta*,51.0098,0.025777,98,True,51.4342
50-100,100,510065,A*,57.5065,0.012198,842,True,61.4887
50-100,100,510065,Dijkstra,57.5065,2.177586,170838,True,61.4887
50-100,100,510065,Breadth-First,57.5065,1.110523,167308,True,67.0949
50-100,100,510065,Theta*,57.5065,0.035067,153,True,58.0162
50-100,100,510066,A*,69.0579,0.204012,18765,True,78.7087
50-100,100,510066,Dijkstra,69.0579,2.396819,220400,True,78.7087
50-100,100,510066,Breadth-First,69.0579,1.205965,180454,True,78.7087
50-100,100,510066,Theta*,69.0579,0.024927,185,True,71.1373
50-100,100,510067,A*,73.089,0.02818,2455,True,82.3874
50-100,100,510067,Dijkstra,73.089,2.398562,220431,True,82.3874
50-100,100,510067,Breadth-First,73.089,1.207443,181283,True,82.9267
50-100,100,510067,Theta*,73.089,0.035273,443,True,76.7191
50-100,100,510068,A*,86.0755,0.32257,30640,True,98.2234
50-100,100,510068,Dijkstra,86.0755,2.290667,212660,True,98.2234
50-100,100,510068,Breadth-First,86.0755,1.109467,167062,True,104.265
50-100,100,510068,Theta*,86.0755,0.202405,4966,True,90.9061
50-100,100,510069,A*,70.1213,0.016874,1287,True,77.4325
50-100,100,510069,Dijkstra,70.1213,2.186047,202484,True,77.4325
50-100,100,510069,Breadth-First,70.1213,1.033247,155496,True,80.9964
50-100,100,510069,Theta*,70.1213,0.035746,541,True,72.777
50-100,100,510070,A*,96.3535,0.271843,25109,True,109.8973
50-100,100,510070,Dijkstra,96.3535,2.356115,219322,True,109.8973
50-100,100,510070,Breadth-First,96.3535,1.12807,172063,True,122.053
50-100,100,510070,Theta*,96.3535,0.194518,4981,True,103.9888
50-100,100,510071,A*,51.8652,0.008658,531,True,55.0258
50-100,100,510071,Dijkstra,51.8652,1.93291,176385,True,55.0258
50-100,100,510071,Breadth-First,51.8652,0.743814,110958,True,55.1222
50-100,100,510071,Theta*,51.8652,0.02051,114,True,52.3889
50-100,100,510072,A*,57.3672,0.008161,533,True,64.5658
50-100,100,510072,Dijkstra,57.3672,1.498537,138960,True,64.5658
50-100,100,510072,Breadth-First,57.3672,0.766368,115465,True,64.7586
50-100,100,510072,Theta*,57.3672,0.018651,58,True,61.2762
50-100,100,510073,A*,52.5547,0.040909,3630,True,64.1373
50-100,100,510073,Dijkstra,52.5547,1.407377,130725,True,64.1373
50-100,100,510073,Breadth-First,52.5547,0.754746,113517,True,69.3191
50-100,100,510073,Theta*,52.5547,0.097833,3192,True,61.129
50-100,100,510074,A*,57.3847,0.010146,625,True,62.4634
50-100,100,510074,Dijkstra,57.3847,1.643906,152606,True,62.4634
50-100,100,510074,Breadth-First,57.3847,0.911681,138404,True,66.1236
50-100,100,510074,Theta*,57.3847,0.020572,77,True,59.1414
50-100,100,510075,A*,54.7175,0.04853,4328,True,63.4052
50-100,100,510075,Dijkstra,54.7175,1.840081,169710,True,63.4052
50-100,100,510075,Breadth-First,54.7175,0.962743,145149,True,66.6226
50-100,100,510075,Theta*,54.7175,0.115715,3436,True,60.7019
50-100,100,510076,A*,67.6535,0.080788,7262,True,76.3164
50-100,100,510076,Dijkstra,67.6535,1.736647,161806,True,76.3164
50-100,100,510076,Breadth-First,67.6535,0.865946,131447,True,88.9465
50-100,100,510076,Theta*,67.6535,0.118528,3537,True,73.0309
50-100,100,510077,A*,82.061,0.017451,1431,True,94.5378
50-100,100,510077,Dijkstra,82.061,1.891282,175412,True,94.5378
50-100,100,510077,Breadth-First,82.061,1.059901,159903,True,94.5378
50-100,100,510077,Theta*,82.061,0.056126,1256,True,89.7955
50-100,100,510078,A*,53.7494,0.035761,3114,True,59.4831
50-100,100,510078,Dijkstra,53.7494,1.022721,95552,True,59.4831
50-100,100,510078,Breadth-First,53.7494,0.457041,70028,True,62.1222
50-100,100,510078,Theta*,53.7494,0.066202,1533,True,57.0652
50-100,100,510079,A*,55.3986,0.020903,1405,True,59.3935
50-100,100,510079,Dijkstra,55.3986,1.628182,150276,True,59.3935
50-100,100,510079,Breadth-First,55.3986,0.665612,100224,True,59.779
50-100,100,510079,Theta*,55.3986,0.026083,171,True,56.2392
50-100,100,510080,A*,55.9821,0.237788,23216,True,65.8576
50-100,100,510080,Dijkstra,55.9821,1.860431,171441,True,65.8576
50-100,100,510080,Breadth-First,55.9821,0.750032,112748,True,66.7359
50-100,100,510080,Theta*,55.9821,0.608108,15572,True,62.6006
50-100,100,510081,A*,66.7308,0.056425,4743,True,76.8905
50-100,100,510081,Dijkstra,66.7308,1.578288,146839,True,76.8905
50-100,100,510081,Breadth-First,66.7308,0.820918,123988,True,84.1146
50-100,100,510081,Theta*,66.7308,0.047135,1022,True,73.0333
50-100,100,510082,A*,51.0,0.03514,3028,True,55.9158
50-100,100,510082,Dijkstra,51.0,2.045445,186085,True,55.9158
50-100,100,510082,Breadth-First,51.0,0.870846,130621,True,56.2151
50-100,100,510082,Theta*,51.0,0.062365,975,True,52.194
50-100,100,510083,A*,74.8398,0.009793,590,True,82.112
50-100,100,510083,Dijkstra,74.8398,1.869414,170258,True,82.112
50-100,100,510083,Breadth-First,74.8398,0.884124,133188,True,85.6758
50-100,100,510083,Theta*,74.8398,0.024326,69,True,75.0195
50-100,100,510084,A*,63.5689,0.079553,7128,True,72.3629
50-100,100,510084,Dijkstra,63.5689,1.772159,163964,True,72.3629
50-100,100,510084,Breadth-First,63.5689,0.940658,142435,True,82.708
50-100,100,510084,Theta*,63.5689,0.188186,3626,True,66.5301
50-100,100,510085,A*,52.3927,0.004278,215,True,57.2439
50-100,100,510085,Dijkstra,52.3927,1.669233,153011,True,57.2439
50-100,100,510085,Breadth-First,52.3927,0.693266,104515,True,57.8795
50-100,100,510085,Theta*,52.3927,0.017981,50,True,54.8247
50-100,100,510086,A*,50.3885,0.030556,2203,True,60.8077
50-100,100,510086,Dijkstra,50.3885,2.123616,192911,True,60.8077
50-100,100,510086,Breadth-First,50.3885,0.869602,129425,True,61.0005
50-100,100,510086,Theta*,50.3885,0.052992,1092,True,58.0165
50-100,100,510087,A*,93.1236,0.039257,3292,True,103.6595
50-100,100,510087,Dijkstra,93.1236,2.177935,204137,True,103.6595
50-100,100,510087,Breadth-First,93.1236,1.125829,171832,True,115.8077
50-100,100,510087,Theta*,93.1236,0.078838,1014,True,100.2866
50-100,100,510088,A*,53.7959,0.004465,236,True,59.0662
50-100,100,510088,Dijkstra,53.7959,1.287624,118197,True,59.0662
50-100,100,510088,Breadth-First,53.7959,0.735027,110590,True,59.0662
50-100,100,510088,Theta*,53.7959,0.02205,50,True,53.8867
50-100,100,510089,A*,58.0172,0.006655,487,True,66.8735
50-100,100,510089,Dijkstra,58.0172,1.94139,178824,True,66.8735
50-100,100,510089,Breadth-First,58.0172,1.034414,156162,True,73.4619
50-100,100,510089,Theta*,58.0172,0.025668,291,True,63.0103
50-100,100,510090,A*,57.7062,0.00756,458,True,61.3648
50-100,100,510090,Dijkstra,57.7062,1.727673,158329,True,61.3648
50-100,100,510090,Breadth-First,57.7062,0.782138,117388,True,61.3648
50-100,100,510090,Theta*,57.7062,0.019082,43,True,58.421
50-100,100,510091,A*,53.1601,0.038238,3357,True,60.6766
50-100,100,510091,Dijkstra,53.1601,1.406851,130872,True,60.6766
50-100,100,510091,Breadth-First,53.1601,0.669312,100997,True,65.9041
50-100,100,510091,Theta*,53.1601,0.06502,1445,True,58.2602
50-100,100,510092,A*,73.5799,0.009927,496,True,76.5425
50-100,100,510092,Dijkstra,73.5799,2.152038,198889,True,76.5425
50-100,100,510092,Breadth-First,73.5799,0.877179,131798,True,76.5425
50-100,100,510092,Theta*,73.5799,0.056966,475,True,74.3847
50-100,100,510093,A*,82.28,0.338156,30830,True,94.101
50-100,100,510093,Dijkstra,82.28,2.330299,217127,True,94.101
50-100,100,510093,Breadth-First,82.28,1.103017,168146,True,95.4113
50-100,100,510093,Theta*,82.28,0.034008,329,True,86.5166
50-100,100,510094,A*,64.0625,0.126591,10865,True,74.6376
50-100,100,510094,Dijkstra,64.0625,1.746358,162627,True,74.6376
50-100,100,510094,Breadth-First,64.0625,0.887085,133698,True,76.68
50-100,100,510094,Theta*,64.0625,0.307034,7414,True,70.2245
50-100,100,510095,A*,50.892,0.003546,185,True,56.4339
50-100,100,510095,Dijkstra,50.892,1.530682,139798,True,56.4339
50-100,100,510095,Breadth-First,50.892,0.837245,126103,True,56.6267
50-100,100,510095,Theta*,50.892,0.023755,113,True,53.3834
50-100,100,510096,A*,89.6493,0.206417,19418,True,99.734
50-100,100,510096,Dijkstra,89.6493,2.281558,211957,True,99.734
50-100,100,510096,Breadth-First,89.6493,1.179089,177006,True,101.3908
50-100,100,510096,Theta*,89.6493,0.630618,9224,True,94.7486
50-100,100,510097,A*,61.2372,0.020418,1358,True,67.6595
50-100,100,510097,Dijkstra,61.2372,1.343218,124887,True,67.6595
50-100,100,510097,Breadth-First,61.2372,0.710848,108277,True,70.1448
50-100,100,510097,Theta*,61.2372,0.028201,224,True,64.1814
50-100,100,510098,A*,53.1601,0.017484,1238,True,59.7087
50-100,100,510098,Dijkstra,53.1601,1.197746,112144,True,59.7087
50-100,100,510098,Breadth-First,53.1601,0.618855,93911,True,59.9014
50-100,100,510098,Theta*,53.1601,0.018193,47,True,55.0268
50-100,100,510099,A*,62.2495,0.076899,6913,True,69.2363
50-100,100,510099,Dijkstra,62.2495,1.355594,125195,True,69.2363
50-100,100,510099,Breadth-First,62.2495,0.631053,95390,True,73.7284
50-100,100,510099,Theta*,62.2495,0.096956,2180,True,65.0841
100-200,200,520000,A*,197.0051,0.728848,63642,True,210.505
100-200,200,520000,Dijkstra,197.0051,4.879833,450917,True,210.505
100-200,200,520000,Breadth-First,197.0051,2.463628,370540,True,222.5069
100-200,200,520000,Theta*,197.0051,2.191616,54369,True,201.6081
100-200,200,520001,A*,197.0051,0.24547,21822,True,208.2699
100-200,200,520001,Dijkstra,197.0051,4.868409,448996,True,208.2699
100-200,200,520001,Breadth-First,197.0051,2.46337,371412,True,218.4612
100-200,200,520001,Theta*,197.0051,0.755028,18650,True,199.4996
100-200,200,520002,A*,197.0051,0.916633,79376,True,212.6048
100-200,200,520002,Dijkstra,197.0051,4.820797,445887,True,212.6048
100-200,200,520002,Breadth-First,197.0051,2.462742,371093,True,218.3648
100-200,200,520002,Theta*,197.0051,1.996173,44315,True,202.6611
100-200,200,520003,A*,175.0,0.204506,17247,True,185.0874
100-200,200,520003,Dijkstra,175.0,5.046822,447763,True,185.0874
100-200,200,520003,Breadth-First,175.0,2.569645,364512,True,189.7688
100-200,200,520003,Theta*,175.0,0.374907,5528,True,178.4743
