distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
10-50,50,500020,Dijkstra,29.8831,0.580426,52832,True,34.9521
10-50,50,500020,Breadth-First,29.8831,0.208581,31603,True,35.0019
10-50,50,500020,Theta*,29.8831,0.013719,204,True,32.5347
10-50,50,500021,A*,41.5331,0.012032,894,True,46.9487
10-50,50,500021,Dijkstra,41.5331,0.840141,77595,True,46.9487
10-50,50,500021,Breadth-First,41.5331,0.472847,71480,True,49.5303
10-50,50,500021,Theta*,41.5331,0.014227,131,True,44.5963
10-50,50,500022,A*,24.2074,0.003108,170,True,26.2884
10-50,50,500022,Dijkstra,24.2074,0.126836,12082,True,26.2884
10-50,50,500022,Breadth-First,24.2074,0.062609,9303,True,26.2884
10-50,50,500022,Theta*,24.2074,0.009883,22,True,24.2074
10-50,50,500023,A*,24.7184,0.00521,298,True,27.2453
10-50,50,500023,Dijkstra,24.7184,0.554061,35255,True,27.2453
10-50,50,500023,Breadth-First,24.7184,0.172256,22890,True,27.2453
10-50,50,500023,Theta*,24.7184,0.011787,20,True,24.7184
10-50,50,500024,A*,18.0278,0.001394,36,True,18.4142
10-50,50,500024,Dijkstra,18.0278,0.133322,10303,True,18.4142
10-50,50,500024,Breadth-First,18.0278,0.116389,13838,True,18.4142
10-50,50,500024,Theta*,18.0278,0.009804,19,True,18.0278
10-50,50,500025,A*,12.9615,0.001054,34,True,13.9494
10-50,50,500025,Dijkstra,12.9615,0.068019,6116,True,13.9494
10-50,50,500025,Breadth-First,12.9615,0.031005,4684,True,13.9494
10-50,50,500025,Theta*,12.9615,0.008229,11,True,12.9615
10-50,50,500026,A*,24.7184,0.003029,147,True,27.0458
10-50,50,500026,Dijkstra,24.7184,0.368175,33866,True,27.0458
10-50,50,500026,Breadth-First,24.7184,0.218235,32973,True,27.0458
10-50,50,500026,Theta*,24.7184,0.009476,24,True,24.7184
10-50,50,500027,A*,45.6618,0.018367,1520,True,52.313
10-50,50,500027,Dijkstra,45.6618,1.143415,95145,True,52.313
10-50,50,500027,Breadth-First,45.6618,0.587733,86953,True,54.5091
10-50,50,500027,Theta*,45.6618,0.04212,342,True,48.4115
10-50,50,500028,A*,11.7047,0.001942,35,True,12.6569
10-50,50,500028,Dijkstra,11.7047,0.083496,4835,True,12.6569
10-50,50,500028,Breadth-First,11.7047,0.051256,5994,True,12.6569
10-50,50,500028,Theta*,11.7047,0.001677,12,True,11.7047
10-50,50,500029,A*,31.209,0.015518,507,True,35.9951
10-50,50,500029,Dijkstra,31.209,0.479017,36499,True,35.9951
10-50,50,500029,Breadth-First,31.209,0.168257,24849,True,39.2159
10-50,50,500029,Theta*,31.209,0.017895,278,True,34.0608
10-50,50,500030,A*,28.3373,0.00306,208,True,31.4887
10-50,50,500030,Dijkstra,28.3373,0.181761,16651,True,31.4887
10-50,50,500030,Breadth-First,28.3373,0.177833,22518,True,31.5851
10-50,50,500030,Theta*,28.3373,0.010942,28,True,28.5563
10-50,50,500031,A*,17.2337,0.002932,186,True,21.0027
10-50,50,500031,Dijkstra,17.2337,0.21196,18637,True,21.0027
10-50,50,500031,Breadth-First,17.2337,0.062285,9213,True,21.881
10-50,50,500031,Theta*,17.2337,0.01222,134,True,19.5509
10-50,50,500032,A*,14.4568,0.000734,37,True,15.6315
10-50,50,500032,Dijkstra,14.4568,0.08486,7796,True,15.6315
10-50,50,500032,Breadth-First,14.4568,0.050693,7707,True,16.2672
10-50,50,500032,Theta*,14.4568,0.009049,21,True,15.0913
10-50,50,500033,A*,38.2099,0.013074,1100,True,42.68
10-50,50,500033,Dijkstra,38.2099,0.771271,70006,True,42.68
10-50,50,500033,Breadth-First,38.2099,0.311692,38192,True,43.8549
10-50,50,500033,Theta*,38.2099,0.032303,798,True,40.2604
10-50,50,500034,A*,25.923,0.00524,345,True,28.4846
10-50,50,500034,Dijkstra,25.923,0.392553,36601,True,28.4846
10-50,50,500034,Breadth-First,25.923,0.160441,23958,True,28.5344
10-50,50,500034,Theta*,25.923,0.011556,56,True,26.4509
10-50,50,500035,A*,17.3781,0.000679,25,True,18.0027
10-50,50,500035,Dijkstra,17.3781,0.11219,10144,True,18.0027
